"Word","Tag","Lemma","CorrectWord"
"Eins","fokfþ","hv.","hans"
"þdm.","lheþsf","þdm.","þm."
"er","sfg3en","vera","er"
"kunnugt","lhensf","kunnugur","kunnugt"
"þá","aa","þá","þó"
"samþykkti","sfg3eþ","samþykkja","samþykkti"
"siðasta","lhenve","siður","siðasta"
"þing","nhen","þing","þing"
"frv.","aa","frv.","frá"
"til","ae","til","vil"
"l.","nhfe","l.","n."
"um","ao","um","um"
"breyting","nven","breyting","breyting"
"á","aþ","á","í"
"stjórnskipunarlögum","nhfþ","stjórnskipunarlög","stjórnskipunarlögum"
"landsins","nheeg","land","landsins"
".",".",".","."
"Þessar","favfn","þessi","Þessar"
"kosningar","nvfn","kosning","kosningar"
"fóru","sfg3fþ","fara","fóru"
"fram","aa","fram","frá"
